date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:18:37	60585/60585	---M--	404	error ('Not%20Found')	text/html	etag:%22qqjh8u1aqx%22	https://template4.dorik.io/robots.txt		(from )
08:18:38	70722/70722	---MCZ	200	added ('OK')	text/html	etag:%22qq2e2t1iki%22	https://template4.dorik.io/	/Users/keerthanams/websites/dorika/template4.dorik.io/index.html	(from )
08:18:39	28576/28576	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Mar%202020%2019:25:43%20GMT	https://assets.dorik.io/5e373b6c43a72a001f56dbf6/images/logo_uy2e7z7i.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e373b6c43a72a001f56dbf6/images/logo_uy2e7z7i.png	(from https://template4.dorik.io/)
08:18:43	756/756	---MC-	200	added ('OK')	text/css	date:Mon,%2009%20May%202022%2002:48:41%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,600,600,600|Merriweather:400,400,400&display=swap	/Users/keerthanams/websites/dorika/fonts.googleapis.com/cssbe0b.css	(from https://template4.dorik.io/)
08:18:44	67124/67124	---MCZ	200	added ('OK')	text/css	etag:W/%22c8cd894b08a48b07e5264817d27c5843%22	https://cdn.dorik.com/5e83972933cd3200120dbb35/css/index.css?v=8ef8751b7e2559b9559db87f0b03bc4f638f7c80	/Users/keerthanams/websites/dorika/cdn.dorik.com/5e83972933cd3200120dbb35/css/indexe50f.css	(from https://template4.dorik.io/)
08:18:45	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%226bb5545318038a2cfb38a19581c581f9%22	https://assets.dorik.io/shared/aos.css	/Users/keerthanams/websites/dorika/assets.dorik.io/shared/aos.css	(from https://template4.dorik.io/)
08:18:46	28576/28576	---MC-	200	added ('OK')	image/png	date:Mon,%2009%20May%202022%2002:48:45%20GMT	https://cdn.dorik.com/5e373b6c43a72a001f56dbf6/images/logo_uy2e7z7i.png	/Users/keerthanams/websites/dorika/cdn.dorik.com/5e373b6c43a72a001f56dbf6/images/logo_uy2e7z7i.png	(from https://template4.dorik.io/)
08:18:47	49624/49624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Aug%202020%2010:55:42%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/features-1_gw56rl6t.jpg	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/features-1_gw56rl6t.jpg	(from https://template4.dorik.io/)
08:18:48	175752/175752	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Aug%202020%2010:58:43%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/2features-1_1h4ljbgy.jpg	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/2features-1_1h4ljbgy.jpg	(from https://template4.dorik.io/)
08:18:48	32040/32040	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2010:59:03%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/1_hue8rz6j.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/1_hue8rz6j.png	(from https://template4.dorik.io/)
08:18:49	31802/31802	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2010:59:56%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/2_ynw4leef.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/2_ynw4leef.png	(from https://template4.dorik.io/)
08:18:50	30000/30000	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2011:05:44%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/3_4n225w2l.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/3_4n225w2l.png	(from https://template4.dorik.io/)
08:18:51	29931/29931	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2011:05:56%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/4_q82oqnt8.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/4_q82oqnt8.png	(from https://template4.dorik.io/)
08:18:52	29379/29379	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2011:06:07%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/5_gji6c497.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/5_gji6c497.png	(from https://template4.dorik.io/)
08:18:53	31934/31934	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2011:06:18%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/6_cncbzwv8.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/6_cncbzwv8.png	(from https://template4.dorik.io/)
08:18:54	31146/31146	---M--	200	added ('OK')	image/png	date:Tue,%2018%20Aug%202020%2011:06:28%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/7_55a71jgh.png	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/7_55a71jgh.png	(from https://template4.dorik.io/)
08:18:55	22142/22142	---M--	200	added ('OK')	image/jpeg	date:Tue,%2018%20Aug%202020%2011:27:38%20GMT	https://assets.dorik.io/5e83972933cd3200120dbb35/images/1_cq65ovat.jpg	/Users/keerthanams/websites/dorika/assets.dorik.io/5e83972933cd3200120dbb35/images/1_cq65ovat.jpg	(from https://template4.dorik.io/)
